Building_objectid,UHI.FID
4753,26
4754,26
64240,21
64861,21
74552,20
76479,77
76527,77
76614,73
76944,50
77241,73
78359,50
78371,50
78381,50
78412,50
78418,50
78431,50
78581,58
78618,58
78677,58
97736,25
97780,31
97792,31
97808,34
97816,34
97817,34
97821,34
97832,34
97842,34
97844,31
97861,34
97888,31
97913,34
97918,34
97931,34
97939,34
97973,34
97977,34
98037,24
98038,24
98043,34
98054,40
98055,34
98057,24
98091,45
98111,29
98170,29
98171,29
98183,40
98195,29
98201,29
98242,63
98311,52
98328,59
98349,52
98353,52
98355,37
98402,52
98417,52
98427,52
98432,27
98447,27
98454,52
98458,52
98466,52
98483,59
98498,52
98506,52
98511,52
98512,52
98516,52
98518,52
98519,52
98523,64
98527,52
98534,52
98535,52
98536,52
98537,52
98544,65
98554,52
98556,52
98557,52
98558,64
98565,52
98574,52
98577,52
98578,52
98581,52
98583,52
98584,52
98590,65
98592,52
98595,52
98598,62
98599,52
98616,52
98622,52
98630,65
98642,27
98654,52
98656,52
98661,52
98665,52
98671,52
98690,52
98691,60
98818,27
98843,27
98850,27
98893,27
98910,60
98976,52
99000,60
99004,52
99010,52
99052,52
99077,52
99080,52
99088,28
99099,28
99117,28
99118,52
99127,52
99136,28
99137,52
99139,52
99146,28
99153,28
99157,52
99165,52
99166,28
99183,52
99188,52
99190,52
99197,52
99238,52
99276,52
99283,52
99290,44
99291,44
99297,52
99313,32
99319,44
99323,44
99349,44
99352,52
99368,44
99384,44
99397,52
99399,32
99448,32
99453,44
99471,32
99474,32
99484,36
99547,35
99585,35
99651,35
99689,35
99691,35
99694,32
99736,32
99747,32
99773,32
100014,54
100039,52
100064,52
100075,52
100090,35
100114,54
100128,52
100142,54
100157,52
100167,54
100171,23
100177,54
100298,54
100574,52
106262,22
106277,22
106326,22
106340,22
106380,22
106426,22
106454,22
106981,19
107034,22
107147,13
107178,13
107213,13
107268,18
107357,19
107630,13
107640,13
107713,13
177958,19
203486,93
203545,93
259770,103
261934,98
262566,99
262583,99
263293,103
263299,99
263312,101
263317,101
263375,99
311230,52
335621,95
336834,97
336851,99
337533,99
381122,27
381921,15
383154,51
383168,39
383174,39
383175,39
383178,39
383278,42
383337,51
383338,51
383339,51
383342,51
383343,51
383345,51
383346,51
383375,55
383376,55
383377,55
383378,55
383379,55
383383,55
383385,55
383387,55
383389,55
383390,55
383391,55
383392,55
383393,55
383511,42
383687,55
383688,55
383694,55
383726,39
383727,39
384592,61
384593,61
384594,61
384595,61
384596,61
384600,61
384601,61
384602,61
384603,39
384604,39
384605,39
384608,39
384610,39
384620,43
384621,61
384629,61
384630,61
384631,43
384632,43
384634,43
384646,43
384654,61
384659,61
385092,61
385099,61
385107,55
385951,74
385952,74
386725,33
386901,91
387082,79
387373,55
387741,83
387750,85
397522,68
397921,52
416721,52
458759,47
458801,46
458822,46
476460,22
477263,34
480860,35
488574,89
488667,88
488675,89
488710,89
488751,88
488844,80
489061,69
489087,92
489099,92
489139,92
489164,75
489175,75
489178,69
489181,75
489186,75
489187,75
489197,75
489199,75
489200,75
489221,75
489225,75
489228,75
489230,75
489239,75
489245,75
489256,75
489661,70
489666,70
489670,70
489672,70
489674,70
489677,70
489682,70
489684,70
489685,70
489693,70
489698,70
489703,70
489704,70
489721,70
489725,70
489744,70
489749,70
489750,70
489757,70
489759,70
489787,72
489827,72
498245,71
498314,71
531877,38
546750,77
546754,77
546757,77
546759,77
546762,77
546763,77
546764,77
546766,77
546767,77
546768,77
546771,77
546783,73
546820,73
546870,73
547046,73
547316,41
547319,41
547325,41
547334,53
547370,66
547535,91
547536,91
547537,91
547538,91
547540,91
547541,91
547542,91
547621,91
547730,67
547902,76
548087,76
548171,76
548257,76
548268,76
548399,76
548686,76
548740,67
562939,10
563225,12
622480,13
622488,44
622491,52
622496,52
622545,52
622555,32
622556,40
669976,60
670017,34
695242,52
698040,32
702912,43
742221,64
744618,32
744619,32
745817,32
753024,69
770236,22
773439,52
